T_K,species,composition_ref,source,anchor_class,log10P_anchor,log10P_model,residual,status,model_side,note
1900.0,Mg,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-8.56323,-8.03538,0.527851,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1900.0,O2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-4.85948,-4.8595,-2.01513e-05,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1900.0,SiO2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.97329,-7.72947,0.243822,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2000.0,Na,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-3.80312,-3.81,-0.00687688,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2000.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-5.01718,-4.68598,0.331197,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2000.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-6.62643,-5.83212,0.794318,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2000.0,Fe,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-6.1659,-5.66798,0.497914,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2000.0,FeO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-6.44793,-6.02533,0.422599,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2000.0,Mg,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.84397,-7.28984,0.55413,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2000.0,O2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-4.39707,-4.39714,-6.54988e-05,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2000.0,SiO2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.20902,-6.94059,0.268434,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2100.0,Na,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-3.39377,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2100.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-4.24922,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2100.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-5.08503,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2100.0,Fe,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-5.10879,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2100.0,FeO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-5.47048,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2100.0,Mg,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-6.62207,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2100.0,O2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-3.97899,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2100.0,SiO2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-6.22934,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2125.0,Na,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-3.28259,-3.29618,-0.0135894,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2125.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-4.49965,-4.14682,0.352834,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
