sheet,T_K,species,class,log10P_workbook,log10P_shadow,envelope_status,gas_channel_in_domain,refusal_code
tho,2250,SiO2,FAIL,-5.5797558634567066,-5.490736069817169,inside,False,
tho,2250,Fe,FAIL,-4.8440578918639243,-4.626799263255239,inside,False,
tho,2250,FeO,FAIL,-5.1802598866299627,-4.9953250068397583,inside,False,
tho,2250,Na,K-NA-INFORMATIONAL,-2.821090359186186,-4.1816977894038336,inside,True,
tho,2250,K,K-NA-INFORMATIONAL,-4.0451715884051369,-6.3094439837546048,inside,True,
tho,2375,O2,UNGATEABLE,-3.0096287297583806,-3.0096883447151299,inside,,
tho,2375,Mg,FAIL,-5.7050734893254909,-5.5561838817630349,inside,False,
tho,2375,SiO,FAIL,-4.0757153886931912,-3.5693711590498358,inside,True,
tho,2375,SiO2,FAIL,-4.887150776500345,-4.7936174748839546,inside,False,
tho,2375,Fe,FAIL,-4.291320554900258,-4.0528540146887577,inside,False,
tho,2375,FeO,FAIL,-4.6496083392575729,-4.4264627479664185,inside,False,
tho,2375,Na,K-NA-INFORMATIONAL,-2.4105301738173761,-3.773486185070912,inside,True,
tho,2375,K,K-NA-INFORMATIONAL,-3.6438165244287961,-5.8955251993759914,inside,True,
tho,2500,O2,UNGATEABLE,-2.6340691483009637,-2.6340548261921057,inside,,
tho,2500,Mg,FAIL,-5.1425433251655832,-4.9722361692644554,inside,False,
tho,2500,SiO,FAIL,-3.3907388555574243,-2.9173102767641663,inside,True,
tho,2500,SiO2,FAIL,-4.2604133375161286,-4.1682146678753194,inside,False,
tho,2500,Fe,FAIL,-3.7977594158692485,-3.5440740481431967,inside,False,
tho,2500,FeO,FAIL,-4.1735938338973853,-3.9204974730478939,inside,False,
tho,2500,Na,K-NA-INFORMATIONAL,-2.0445552436141226,-3.4109570473036466,inside,True,
tho,2500,K,K-NA-INFORMATIONAL,-3.2879420488226465,-5.5257581796140451,inside,True,
aba,1500,O2,UNGATEABLE,-6.9087879710908293,-6.9087676017771997,inside,,
